ingredient_or_family,mda_criterion,similar_mechanism_drugs,disclaimer,status,source_deck,deck_topic,category_code,notes
Sumatriptan / Triptans,לבדוק,All triptans,Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Migraine — likely no deferral if not during active episode
CGRP mAbs,לבדוק,"Erenumab, fremanezumab, galcanezumab, eptinezumab",Y,,6,NSAIDs/DMARDs/Migraine,PAIN,Migraine prevention — likely no deferral; SC/IV injections
Aspirin,דחייה זמנית — 3 ימים,,No,,7,Coagulation,COAG,Low-dose aspirin common in donors
Clopidogrel,דחייה זמנית — 14 יום,"Prasugrel, Ticagrelor, Ticlopidine, Cangrelor",Yes,,7,Coagulation,COAG,All ADP antagonists — same mechanism
Warfarin,דחייה זמנית — 7 ימים,Acenocoumarol,Yes,,7,Coagulation,COAG,Vitamin K antagonists
"DOACs (Rivaroxaban, Apixaban, Dabigatran, Edoxaban)",לבדוק — ייתכן שאין קריטריון ספציפי,All DOACs share similar donation implications,Yes,,7,Coagulation,COAG,Newer drugs — MDA criteria may not list by name
Heparin / LMWH,תלוי בהתוויה הרפואית,"Enoxaparin, Dalteparin, Tinzaparin",Yes,,7,Coagulation,COAG,Usually hospital setting; donors unlikely to be on these
Thrombolytics,דחייה — תלוי במצב הרפואי,All plasminogen activators,No,,7,Coagulation,COAG,"Condition (MI, stroke) is the primary deferral reason"
Tranexamic acid,לבדוק,Aminocaproic acid,Yes,,7,Coagulation,COAG,Sometimes prescribed for heavy menstrual bleeding
סטטינים (HLP_F01),תרופה כרונית — אינה פוסלת תרומה אם המצב הרפואי יציב,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,"תורמים רבים נוטלים סטטינים; לבדוק מול טבלת התרופות של מד""א"
סופחי חומצות מרה (HLP_F02),לא נספגות — סיכון תיאורטי מינימלי,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,בטוחות מבחינת דם; עשויות להפחית ספיגת תרופות אחרות
Ezetimibe (HLP_F03),תרופה כרונית; אינה פוסלת,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,נפוצה בשילוב עם סטטין
פיבראטים (HLP_F04),תרופה כרונית; לבדוק אם משפיעה על שומני הדם של מנת הדם,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,gemfibrozil + statin = סיכון רבדומיוליזיס — האם רלוונטי לתרומה?
ניאצין (HLP_F05),מינון גבוה; הסמקה ווזודילטציה עשויות להשפיע בעת תרומה?,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,רלוונטי אם תורם נוטל סמוך לתרומה — ריאקציה וזו-ואגלית?
אומגה-3 (HLP_F06),תוסף תזונה; סיכון מוגבר לדימום בשילוב נוגדי קרישה,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,במינון גבוה (4 גר׳) — עשוי להשפיע על תפקוד טסיות?
מעכבי PCSK9 — mAb (HLP_F07),ביולוגיים; זריקה כל 2-4 שבועות — עשויים לדחות תרומה?,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,"נוגדנים חד-שבטיים — לבדוק מדיניות מד""א לגבי ביולוגיים"
Inclisiran — siRNA (HLP_F08),ביולוגי/siRNA; זריקה פעמיים בשנה,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,"תרופה חדשנית; סביר שלא קיימת מדיניות ספציפית במד""א"
Bempedoic acid (HLP_F09),תרופה כרונית פומית; דומה לסטטין,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,אין רעילות שרירית; חדש
Evinacumab (HLP_F11),ביולוגי IV; HoFH בלבד — מצב רפואי חמור,,לבדוק,לבדוק,8,Hyperlipidemia,METAB,חולי HoFH הומוזיגוטית — ככל הנראה פסולים מסיבה רפואית
Warfarin (אינטראקציה),נוגד קרישה — פוסל תרומה (נזכר כאינטראקציה עם סטטינים/פיבראטים),,ידוע,ידוע,8,Hyperlipidemia,METAB,כבר ממופה בדק 07 (קרישה); חפיפה
לבודופה + DDC-I (CNS_F01),טיפול כרוני במחלה נוירולוגית — מצב רפואי עצמו עשוי לפסול; L-Dopa גורם לתוצאת קומבס חיובית (false positive),,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,קומבס חיובי = רלוונטי לבדיקות התאמה לפני מתן דם; שתן חום
אגוניסטים דופמינרגיים (CNS_F04),היפוטנסיה ניצבת + סדציה — סיכון בתרומה?,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,היפוטנסיה = סיכון לריאקציה וזו-ואגלית
מעכבי MAO-B (CNS_F03),סלגילין → מטבוליט אמפטמיני — יופיע בבדיקת סמים?,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,"לא רלוונטי ישירות לתרומה, אבל תורם עשוי להזכיר; rasagiline ללא בעיה"
אנטיכולינרגיים (CNS_F06),"תרופה כרונית; ת""ל יובש פה — עשוי להשפיע על נוחות תרומה",,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,ככל הנראה לא פוסל
מעכבי AChE — אלצהיימר (CNS_F07),טיפול כרוני; חולי אלצהיימר — כשירות למתן הסכמה?,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,"שאלת כשירות היא רפואית-חוקית, לא תרופתית"
ממנטין (CNS_F08),תרופה כרונית PO; מצב רפואי הוא הסוגיה,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,דומה לאמור לגבי מעכבי AChE
"נוגדנים נגד Aβ — lecanemab, donanemab (CNS_F13)",ביולוגיים IV; ARIA risk (מיקרו-דימום מוחי) — ככל הנראה פסילה,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,"תרופות חדשניות; אין מדיניות מד""א ספציפית; ARIA = סיכון דימום"
Riluzole / ALS (CNS_F09),"חולי ALS — מחלה קשה, ככל הנראה פסילה רפואית",,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,לא סביר שחולה ALS מגיע לתרום
מחלת פרקינסון (מצב רפואי),מחלה נוירולוגית כרונית פרוגרסיבית — האם פוסלת?,,לבדוק,לבדוק,9,Parkinson/Alzheimer/ALS,CNS,"בדיקת נהלי מד""א: פרקינסון עם מוגבלות מוטורית — בטיחות התרומה?"
בנזודיאזפינים (ANX_F01),"תרופות פסיכוטרופיות — עשויות לגרום לישנוניות/סחרחורת בזמן תרומה; לבדוק מדיניות מד""א",,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,שאלון תורם שואל על תרופות; BZ לטווח קצר ≠ פסילה אוטומטית?
ברביטוראטים (ANX_F03),תרופות ממכרות; אנטיקונבולסנטים — מצב רפואי הוא הסוגיה,,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,phenobarbital לאפילפסיה — חפיפה עם דק אפילפסיה
Z-Drugs: zolpidem/zaleplon/eszopiclone (ANX_F04),"משרי שינה; שימוש ערב בלבד — בד""כ לא משפיעים על תרומה ביום",,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,שאלון תורם — האם תורם ישנוני?
Buspirone (ANX_F06),תרופה כרונית לחרדה; אינה מרגיעה — ככל הנראה לא פוסלת,,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,"אין סדציה, אין אינטראקציה עם אלכוהול"
Propranolol (ANX_F08),"β-blocker — עשוי לגרום לברדיקרדיה/היפוטנסיה; לבדוק ל""ד ודופק לפני תרומה",,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,"כבר רלוונטי מדק 04; תורם עם ל""ד נמוך מ-100/60 לא תורם"
Flumazenil (ANX_F02),תרופת חירום IV — לא רלוונטי לתרומת דם שגרתית,,לא רלוונטי,לא רלוונטי,10,Anxiolytics/Hypnotics,CNS,—
DORAs — suvorexant/lemborexant (ANX_F09),משרי שינה חדשים; ישנוניות למחרת אפשרית,,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,תרופות חדשות; אין מדיניות ספציפית
גמילת אלכוהול (מצב רפואי),אלכוהוליזם פעיל — ככל הנראה פוסל; גמילה פעילה = לא יציב,,לבדוק,לבדוק,10,Anxiolytics/Hypnotics,CNS,"בדיקת נהלי מד""א"
SSRIs,לבדוק,All SSRIs share mechanism — eligible if stable,כן,,11,Antidepressants,CNS,דיכאון ללא אשפוז ותפקוד תקין — לבדוק קריטריון
SNRIs,לבדוק,All SNRIs share mechanism — eligible if stable,כן,,11,Antidepressants,CNS,"כנ""ל; לבדוק גם השפעה על לחץ דם"
TCAs,לבדוק,All TCAs share mechanism; may affect BP/HR,כן,,11,Antidepressants,CNS,"זהירות — אריתמיות, תת-לחץ דם אורטוסטטי"
MAOIs,לבדוק,All MAOIs — many drug-food interactions,כן,,11,Antidepressants,CNS,תגובות למזון וסנדרום סרוטונין; קו אחרון
Lithium,לבדוק,"Lithium; also valproate, carbamazepine, lamotrigine",כן,,11,Antidepressants,CNS,טווח טרפויטי צר; ניטור תירואיד וכליות
Bupropion,לבדוק,NDRI — unique mechanism,כן,,11,Antidepressants,CNS,גם לגמילה מעישון
Esketamine,לבדוק,"NMDA antagonists (esketamine, DXM/bupropion)",כן,,11,Antidepressants,CNS,ניתן במרפאה תחת השגחה בלבד
FGA (Typical),לבדוק,All FGA share D2 blockade mechanism,כן,,12,Antipsychotics,CNS,פסיכוזה/סכיזופרניה — לבדוק קריטריון למחלת נפש
SGA (Atypical),לבדוק,All SGA share D2/5-HT2A mechanism,כן,,12,Antipsychotics,CNS,"כנ""ל; תופעות מטבוליות (סוכרת, שומנים) — לבדוק בנפרד"
Clozapine,לבדוק,Clozapine unique — last line only,כן,,12,Antipsychotics,CNS,דיכוי מח עצם — ניטור ספירת דם; רלוונטי לתרומת דם?
Lithium (from deck 11),לבדוק,Lithium; valproate; carbamazepine,כן,,12,Antipsychotics,CNS,הפניה חוזרת — מופיע כבר בדק 11
Antiepileptics (all),לבדוק,Many families — group by mechanism at merge,כן,,13,Antiepileptics,CNS,אפילפסיה — לבדוק קריטריון; הריון + טרטוגניות רלוונטי לתורמות
Valproate,לבדוק,Also used as mood stabilizer (bipolar) — cross-ref deck 11,כן,,13,Antiepileptics,CNS,רעילות כבד; ניטור; אסור <2 שנים
Carbamazepine,לבדוק,"Blood dyscrasias: neutropenia, thrombocytopenia, pancytopenia",כן,,13,Antiepileptics,CNS,דיסקרזיות דם — רלוונטי מאוד לתרומת דם
Phenytoin,לבדוק,Gingival hyperplasia; zero-order kinetics,כן,,13,Antiepileptics,CNS,
BZDs (antiepileptic),לבדוק,"Diazepam, Lorazepam, Clonazepam, Clobazam",כן,,13,Antiepileptics,CNS,חפיפה עם דקים של חרדה/שינה — dedup במיזוג
Barbiturates,לבדוק,"Phenobarbital, Primidone",כן,,13,Antiepileptics,CNS,חפיפה עם דקים של חרדה/שינה
Cannabidiol (CBD),לבדוק,"Epidiolex — prescription CBD, not recreational cannabis",כן,,13,Antiepileptics,CNS,"קנביס רפואי — לבדוק מדיניות מד""א"
General Anesthetics (all),"דחייה לפי סוג הפרוצדורה/ניתוח, לא לפי חומר ההרדמה",—,כן,לבדוק,14,Anesthetics,ANES,
Local Anesthetics (dental),טיפולי שיניים — דחייה 24-48 שעות אם אין זיהום,"Lidocaine, Bupivacaine, Articaine, Mepivacaine, Procaine",כן,לבדוק,14,Anesthetics,ANES,
Lidocaine,גם תרופה אנטי-אריתמית (Ib) — בדיקת קריטריון הפרעות קצב,Mexiletine (same class Ib antiarrhythmic),כן,לבדוק,14,Anesthetics,ANES,
Ketamine,שימוש רקריאטיבי — דחייה קבועה (שימוש בסמים בהזרקה),—,כן,לבדוק,14,Anesthetics,ANES,
NMBs (all),שימוש בבית חולים בלבד — דחייה לפי סוג הפרוצדורה,"Rocuronium, Vecuronium, Cisatracurium, Succinylcholine",כן,לבדוק,14,Anesthetics,ANES,
Dantrolene,טיפול חירום בהיפרתרמיה ממאירה — ללא קריטריון ישיר,—,כן,לבדוק,14,Anesthetics,ANES,
Propofol,סדציה לפרוצדורות — דחייה לפי סוג הפרוצדורה,"Etomidate, Thiopental, Midazolam",כן,לבדוק,14,Anesthetics,ANES,
H1 Antihistamines (all),"אנטי-היסטמינים לא גורמים בד""כ לדחיית תרומה; אלרגיה עונתית אינה סיבה לדחייה",כל משפחת אנטי-היסטמינים H1 (דור 1+2),כן,לבדוק,15,Antihistamines (H1),ALRG,
H1 1st Generation (sedating),תורם מרדים/ישנוני — בדיקה האם מתאים לתרום באותו יום,"Diphenhydramine, Promethazine, Hydroxyzine, Doxylamine",כן,לבדוק,15,Antihistamines (H1),ALRG,
Cyproheptadine,עלייה בתיאבון — ללא קריטריון ישיר; בדיקת המצב הבסיסי,—,כן,לבדוק,15,Antihistamines (H1),ALRG,
PPIs (all),תרופות למערכת העיכול — ללא דחייה ספציפית; בדיקת המצב הבסיסי,"Omeprazole, Esomeprazole, Lansoprazole, Pantoprazole, Rabeprazole, Dexlansoprazole",כן,לבדוק,16,GI Drugs,GI,
H2 Blockers (all),חוסמי H2 — ללא דחייה ספציפית,"Famotidine, Cimetidine, Nizatidine",כן,לבדוק,16,GI Drugs,GI,
Bismuth subsalicylate,מכיל סליצילט — בדיקת הצלבה עם קריטריון אספירין/NSAIDs,Aspirin (cross-ref deck 06/07),כן,לבדוק,16,GI Drugs,GI,
Misoprostol,פרוסטגלנדין — ללא קריטריון ישיר; CI בהריון (אבורטיפציאנט),—,כן,לבדוק,16,GI Drugs,GI,
Loperamide,"נוגד שלשול — אם שלשול פעיל, התורם לא מתאים עד להחלמה",Diphenoxylate,כן,לבדוק,16,GI Drugs,GI,
Ranitidine,הוסר מהשוק ב-2020 (זיהום NDMA) — כבר לא רלוונטי,Famotidine (replacement),כן,הערה,16,GI Drugs,GI,
"Inhaled medications (SABA, ICS, LAMA)",משאפים לאסטמה/COPD — ללא דחייה ספציפית; אסטמה מבוקרת לא מונעת תרומה,"Albuterol, Fluticasone, Budesonide, Tiotropium, Salmeterol",כן,לבדוק,17,Respiratory,RESP,
Oral corticosteroids (systemic),סטרואידים סיסטמיים — בדיקת קריטריון לפי מצב בסיסי ומינון,"Prednisone, Prednisolone, Dexamethasone",כן,לבדוק,17,Respiratory,RESP,
Montelukast,מעכב לויקוטריאנים — ללא דחייה ספציפית,"Zafirlukast, Zileuton",כן,לבדוק,17,Respiratory,RESP,
"Biologics (omalizumab, mepolizumab, dupilumab etc.)",ביולוגיים — בדיקת קריטריון תרופות ביולוגיות/אימונומודולטוריות,כל הנוגדנים המונוקלונליים הנשימתיים,כן,לבדוק,17,Respiratory,RESP,
Codeine (cough),אופיואיד — cross-ref דק 05; שימוש קצר לשיעול ככל הנראה ללא דחייה,Dextromethorphan (לא אופיואיד),כן,לבדוק,17,Respiratory,RESP,
Pseudoephedrine,מכווץ כלי דם — ללא דחייה ישירה; בודקים לחץ דם בתרומה,"Phenylephrine, Oxymetazoline",כן,לבדוק,17,Respiratory,RESP,
Immunosuppressants (all — transplant),מושתלי איברים — דחייה קבועה מתרומת דם,"Cyclosporine, Tacrolimus, Mycophenolate, Sirolimus, Everolimus, ATG, Basiliximab",כן,לבדוק,18,Immunosuppressants,IMMUN,
"Glucocorticoids (systemic, chronic)",סטרואידים סיסטמיים כרוניים — בדיקת מצב בסיסי והתוויה,"Prednisone, Prednisolone, Methylprednisolone",כן,לבדוק,18,Immunosuppressants,IMMUN,
Azathioprine (autoimmune use),דיכוי חיסוני למחלות אוטואימוניות — בדיקת קריטריון,"Mycophenolate, Methotrexate (cross-ref deck 06)",כן,לבדוק,18,Immunosuppressants,IMMUN,
JAK Inhibitors,מעכבי JAK — תרופות אימונומודולטוריות חדשות; בדיקת קריטריון,"Tofacitinib, Baricitinib, Upadacitinib",כן,לבדוק,18,Immunosuppressants,IMMUN,
β-Blockers (all),יתר לחץ דם / מחלות לב,,,Controlled HTN on β-blockers: likely eligible. Check BP at donation.,19,Antihypertensives,CV,
ACE Inhibitors,יתר לחץ דם / מחלות לב / כליה,,,Controlled HTN: likely eligible. Monitor for hypotension during donation.,19,Antihypertensives,CV,
ARBs,יתר לחץ דם / מחלות לב / כליה,,,Same as ACEi — controlled HTN eligible.,19,Antihypertensives,CV,
CCBs (all),יתר לחץ דם / אנגינה,,,"Controlled HTN: likely eligible. DHP may cause peripheral edema (cosmetic, not deferral).",19,Antihypertensives,CV,
Carvedilol / Labetalol,"אי-ספיקת לב / יל""ד הריוני",,,"CHF patients: likely permanent deferral by condition, not drug.",19,Antihypertensives,CV,
Centrally acting (Clonidine/Methyldopa),"יל""ד עמיד / הריון",,,Resistant HTN may indicate severe condition → evaluate individually.,19,Antihypertensives,CV,
Direct vasodilators,"יל""ד הריוני / יל""ד עמיד",,,"Hydralazine in pregnancy: temporary deferral by pregnancy, not drug.",19,Antihypertensives,CV,
Sacubitril/Valsartan (ARNI),אי-ספיקת לב,,,HFrEF patients: likely permanent deferral by condition.,19,Antihypertensives,CV,
Minoxidil (topical),התקרחות,,,Topical cosmetic use: no expected deferral.,19,Antihypertensives,CV,
Aliskiren,יתר לחץ דם,,,Same as ACEi/ARB — controlled HTN likely eligible.,19,Antihypertensives,CV,
Thiazide diuretics,יתר לחץ דם,,,Controlled HTN on thiazides: likely eligible. Check BP + electrolytes.,20,Diuretics,CV,
Loop diuretics,אי-ספיקת לב / בצקת,,,"HF patients on loop diuretics: likely deferred by condition (HF), not by drug.",20,Diuretics,CV,
K-sparing diuretics (all),יתר לחץ דם / אי-ספיקת לב,,,"Same as above — deferral by underlying condition, not drug class.",20,Diuretics,CV,
Spironolactone (PCOS use),שחלה פוליציסטית,,,PCOS itself not a deferral reason; spironolactone for cosmetic indication — likely eligible.,20,Diuretics,CV,
Acetazolamide (glaucoma),גלאוקומה,,,Glaucoma treatment per se: no expected deferral. Drug is chronic oral.,20,Diuretics,CV,
Mannitol IV,בצקת מוחית / חירום,,,Acute hospital use — donor not presenting during acute treatment.,20,Diuretics,CV,
Tolvaptan,SIADH / היפונטרמיה,,,Underlying condition (SIADH) requires evaluation; electrolyte imbalance concern.,20,Diuretics,CV,
SGLT2 Inhibitors,סוכרת / אי-ספיקת לב / כליה,,,Deferral by condition (diabetes/HF/CKD). Drug class itself not expected to defer.,20,Diuretics,CV,
"Organic Nitrates (Nitroglycerin, ISDN, ISMN)",לבדוק — ניטרטים = marker למחלת לב איסכמית/אנגינה; תלוי חומרה,"Nitroglycerin, ISDN, ISMN — all same mechanism",כן,,22,Angina Pectoris,CV,SL nitroglycerin PRN may indicate mild stable angina; long-acting nitrates suggest more severe/frequent symptoms; underlying IHD is the deferral driver
Ranolazine,לבדוק — Ranexa = marker לתעוקה עמידה לטיפול קו ראשון; likely permanent deferral,No similar mechanism alternatives,כן,,22,Angina Pectoris,CV,Add-on agent = patient didn't respond to β-blockers/CCBs/nitrates alone; implies significant CAD
β-Blockers (angina indication),"לבדוק — תלוי באינדיקציה: יל""ד לבד vs אנגינה/IHD vs HF",All β-Blockers — see deck 19 for full list,כן,,22,Angina Pectoris,CV,Same as deck 19/21 — underlying condition determines eligibility; angina = IHD = likely deferral
CCBs (angina indication),לבדוק — CCBs alone may be for HTN; combined with nitrates suggests angina,"DHP: Amlodipine, Felodipine, Nifedipine; non-DHP: Verapamil, Diltiazem",כן,,22,Angina Pectoris,CV,CCBs prescribed for HTN alone may not defer; if prescribed specifically for angina = IHD = likely deferral
"Aspirin (low-dose, cardio)",לבדוק — Aspirin Cardio/Micropirin = secondary CV prevention; indicates underlying CAD/IHD,COX-1 inhibitors — see deck 07,כן,,22,Angina Pectoris,CV,Low-dose aspirin for primary prevention is being questioned; for secondary prevention after MI/stent = indicates significant CAD
Ivabradine (angina indication),לבדוק — same as deck 21; indicates significant cardiac condition (HF or refractory angina),No similar mechanism,כן,,22,Angina Pectoris,CV,Dual indication: HFrEF (deck 21) and chronic stable angina in β-blocker-intolerant patients
Nicorandil,לבדוק — indicates chronic stable angina; not common in Israel,No similar mechanism (K-ATP + nitrate hybrid),כן,,22,Angina Pectoris,CV,"Not FDA-approved; used in Europe/Japan; if donor mentions it, likely severe/refractory angina"
Post-PCI / Post-CABG status,לבדוק — צנתור/ניתוח מעקפים = marker חד-משמעי למחלת לב; DAPT regime expected,Full antiplatelet + anticoagulant regimen,לא,,22,Angina Pectoris,CV,Procedural history (not drug); slide 13 mentions non-pharmacological treatment; donors post-PCI/CABG on DAPT = significant CAD
Antiarrhythmic drugs (all classes),לבדוק — כל תרופה אנטי-אריתמית = marker להפרעת קצב = מחלת לב; likely deferral,All Vaughan-Williams classes I-IV + others,כן,,23,Cardiac Arrhythmia,CV,"Underlying arrhythmia/cardiac condition drives deferral, not the drug per se; severity varies widely"
Amiodarone (Cordarone),לבדוק — Cordarone = marker לאריתמיה חמורה/עמידה; likely permanent deferral,Dronedarone (less severe alternative); Sotalol,כן,,23,Cardiac Arrhythmia,CV,"Amiodarone implies serious/refractory arrhythmia; many organ toxicities (thyroid, lung, liver, eye)"
Flecainide / Propafenone,לבדוק — Class IC = marker לפרפור עליות; may be milder than Amiodarone cases,"Flecainide, Propafenone",כן,,23,Cardiac Arrhythmia,CV,Used in AF WITHOUT structural heart disease — may indicate less severe underlying pathology; still needs review
β-Blockers (arrhythmia indication),"לבדוק — תלוי באינדיקציה: יל""ד vs הפרעת קצב vs אי-ספיקה",All β-Blockers — see decks 19/21/22,כן,,23,Cardiac Arrhythmia,CV,Same dual-indication challenge as previous decks; arrhythmia implies cardiac disease
Digoxin (arrhythmia dose),לבדוק — דיגוקסין לקצב = marker ל-AF + underlying cardiac disease; likely deferral,Digitoxin; see deck 21,כן,,23,Cardiac Arrhythmia,CV,Higher arrhythmia dose (1-2 ng/mL) implies more serious cardiac involvement than HF dose
Sotalol,לבדוק — Sotacor = dual β-blocker + K+ blocker; marker for significant arrhythmia,No exact equivalent; Amiodarone for more severe cases,כן,,23,Cardiac Arrhythmia,CV,Combined mechanism implies arrhythmia that needs aggressive treatment
Anticoagulants (AF stroke prevention),לבדוק — DOACs/Warfarin for AF = marker for chronic AF; see also deck 07,"DOACs (Rivaroxaban, Apixaban, Dabigatran, Edoxaban), Warfarin",כן,,23,Cardiac Arrhythmia,CV,Anticoagulation for AF stroke prevention = chronic AF = cardiac condition; cross-ref deck 07
