name_en,name_he,is_primary,family_en,atc_code,source,brand_names,source_deck,deck_topic,category_code,notes
Carvedilol,,False,α1+β Blockers,C07AG02,Slides,Coreg,4,Sympathetic/Adrenergic,ANS,"HTN, HF"
Brimonidine,,True,α2-Agonists (Ophthalmic),S01EA05,Slides,Alphagan,4,Sympathetic/Adrenergic,ANS,Glaucoma; ↓ aqueous humor production + ↑ outflow
Apraclonidine,,True,α2-Agonists (Ophthalmic),S01EA03,Slides,Iopidine,4,Sympathetic/Adrenergic,ANS,Glaucoma; short-term IOP reduction
Morphine,מורפין,True,Natural Opiates,N02AA01,Slides,"MS Contin, Avinza, Kadian, Oramorph",5,Opioids,PAIN,Prototype; active metabolites M3G (neuroexcitatory) + M6G (potent); renal elimination
Codeine,קודאין,True,Weak µ-Agonists,R05DA04,Slides,—,5,Opioids,PAIN,CYP2D6 → morphine; rapid/poor metabolizers risk; mild pain + antitussive
Hydromorphone,הידרומורפון,True,Semisynthetic Opioids,N02AA03,Slides,"Dilaudid, Exalgo",5,Opioids,PAIN,~5× morphine; glucuronidation → H6G/H3G renal; caution in renal insufficiency
Hydrocodone,הידרוקודון,True,Semisynthetic Opioids,N02AA08,Slides,"Lortab, Vicodin, Hysingla ER",5,Opioids,PAIN,~1× morphine; CYP2D6/3A4 → hydromorphone; most prescribed opioid in US
Oxycodone,אוקסיקודון,True,Semisynthetic Opioids,N02AA05,Slides,"OxyContin, Percocet, Xtampza ER",5,Opioids,PAIN,~2× morphine; CYP2D6/3A4; black box: CYP3A4 interactions
Oxymorphone,אוקסימורפון,True,Semisynthetic Opioids,N02AA19,Slides,Opana,5,Opioids,PAIN,~10× morphine; longer t½ (8h IR); bioavailability ↑ with alcohol
Fentanyl,פנטניל,True,Synthetic — Phenylpiperidines,N02AB03,Slides,"Duragesic, Abstral, Actiq, Fentora, Lazanda, Subsys",5,Opioids,PAIN,100× morphine; no active metabolites; multiple routes (IV/TD/SL/Buccal/Nasal); less histamine release
Alfentanil,אלפנטניל,True,Synthetic — Phenylpiperidines,N01AH02,Slides,Alfenta,5,Opioids,PAIN,Short-acting; anesthesia adjunct
Sufentanil,סופנטניל,True,Synthetic — Phenylpiperidines,N01AH03,Slides,"Sufenta, Dsuvia (SL)",5,Opioids,PAIN,500-1000× morphine; anesthesia; Dsuvia = SL formulation (2018)
Remifentanil,רמיפנטניל,True,Synthetic — Phenylpiperidines,N01AH06,Slides,Ultiva,5,Opioids,PAIN,Ultra-short acting; ester hydrolysis; context-sensitive t½ constant ~3-4 min
Meperidine (Pethidine),מפרידין (פתידין),True,Synthetic — Phenylpiperidines,N02AB02,Slides,Demerol,5,Opioids,PAIN,"NOT first-line; normeperidine toxic (seizures); CI: elderly, renal, MAOI; anticholinergic"
Methadone,מתדון,True,Synthetic — Diphenylheptanes,N07BC02,Slides,Dolophine,5,Opioids,PAIN,"Racemic; R=µ-agonist, S=NMDA-antagonist; very long t½ (15-60h); QT prolongation; torsades risk"
Buprenorphine,בופרנורפין,True,Partial µ-Agonists,N02AE01 / N07BC01,Slides,"Buprenex, Subutex, Suboxone (+ naloxone), Sublocade (ER inj)",5,Opioids,PAIN,"Ceiling effect; long-acting; lipophilic; SL/TD/IM; incompletely reversed by naloxone; QT risk; CI: atazanavir, conivaptan, MAOI"
Butorphanol,בוטורפנול,True,Mixed Agonist-Antagonists,N02AF01,Slides,—,5,Opioids,PAIN,Moderate analgesia; nasal spray available
Nalbuphine,נלבופין,True,Mixed Agonist-Antagonists,N02AF02,Slides,Nubain,5,Opioids,PAIN,Moderate analgesia; less respiratory depression; less euphoria
Pentazocine,פנטזוצין,True,Mixed Agonist-Antagonists,N02AD01,Slides,Talwin,5,Opioids,PAIN,Moderate pain; less euphoria but causes tolerance/dependence; CI: coronary disease
Naloxone,נלוקסון,True,Opioid Antagonists,V03AB15,Slides,Narcan,5,Opioids,PAIN,IV for overdose/coma; short t½ (30-90 min); combined in PO opioid pills to prevent abuse/constipation; Narcan nasal spray OTC (2023)
Naltrexone,נלטרקסון,True,Opioid Antagonists,N07BB04,Slides,"ReVia, Vivitrol (ER IM)",5,Opioids,PAIN,PO for OUD + AUD; Vivitrol = monthly IM injection; no effect in opioid-naive patients
Nalmefene,נלמפן,True,Opioid Antagonists,V03AB23,ATC,Opvee (nasal),5,Opioids,PAIN,Longer t½ than naloxone (~11h); FDA 2023 nasal spray for opioid overdose reversal
Tapentadol,טפנטדול,True,Atypical Opioids,N02AX06,Slides,Nucynta,5,Opioids,PAIN,Moderate-severe pain; glucuronidation (no CYP450); seizure/serotonin syndrome risk with TCA/MAOI/SSRI
Tramadol,טרמדול,True,Atypical Opioids,N02AX02,Slides,Ultram,5,Opioids,PAIN,Moderate pain; seizure risk; serotonin syndrome with TCA/MAOI/SSRI; CNS excitation risk
Diphenoxylate,דיפנוקסילאט,True,Peripheral µ-Agonists,A07DA01,Slides,Lomotil (+ atropine),5,Opioids,PAIN,Combined with atropine to discourage abuse; antidiarrheal
Loperamide,לופרמיד,True,Peripheral µ-Agonists,A07DA03,Slides,Imodium,5,Opioids,PAIN,OTC antidiarrheal; P-gp substrate — no CNS at therapeutic doses; less dependence
Dextromethorphan,דקסטרומתורפן,True,Opioid Antitussives,R05DA09,Slides,"Robitussin DM, many OTC",5,Opioids,PAIN,No analgesic/addictive potential; antitussive; abuse at high doses (dissociative)
Dronabinol,דרונבינול,True,Synthetic Cannabinoids,A04AD10,Slides,Marinol,5,Opioids,PAIN,Synthetic THC; antiemetic (chemo) + appetite stimulant (HIV)
Nabilone,נבילון,True,Synthetic Cannabinoids,A04AD11,Slides,Cesamet,5,Opioids,PAIN,Synthetic THC analog; antiemetic (chemo); more side effects than smoked cannabis
Oliceridine,אוליסרידין,True,⭐ G-Protein Biased µ-Agonists,N02AX (pending),ATC,Olinvyk,5,Opioids,PAIN,FDA 2020; IV only; acute moderate-severe pain in hospitals; faster onset; debated whether true bias or partial agonist
Methylnaltrexone,מתילנלטרקסון,True,⭐ PAMORAs,A06AH01,ATC,Relistor,5,Opioids,PAIN,FDA 2008 (SC) / 2016 (PO); OIC in advanced illness + chronic noncancer pain; does not cross BBB
Naloxegol,נלוקסגול,True,⭐ PAMORAs,A06AH02,ATC,Movantik,5,Opioids,PAIN,FDA 2014; PEGylated naloxone derivative; PO once daily for OIC; P-gp substrate; CYP3A4 interactions
Naldemedine,נלדמדין,True,⭐ PAMORAs,A06AH03,ATC,Symproic,5,Opioids,PAIN,FDA 2017; naltrexone derivative; PO once daily for OIC; well-tolerated; CYP3A4 substrate
Alvimopan,אלבימופן,True,⭐ PAMORAs,A06AH (misc),ATC,Entereg,5,Opioids,PAIN,FDA 2008; hospital-only for postoperative ileus (bowel resection); not for chronic OIC
Difelikefalin,דיפליקפלין,True,⭐ Peripheral κ-Agonists,—,ATC,Korsuva,5,Opioids,PAIN,FDA 2021; IV at end of hemodialysis; CKD-associated pruritus; does not cross BBB; first-in-class; oral formulations in trials
Suzetrigine,סוזטריג'ין,True,⭐ NaV1.8 Inhibitors,N02BG (pending),ATC,Journavx,5,Opioids,PAIN,FDA Jan 2025; first-in-class non-opioid for moderate-severe acute pain; no addiction; PO; CYP3A4; not proven for chronic pain yet
Alprostadil,אלפרוסטדיל,True,PGE1 Analogs,G04BE01,Slides,"Caverject, Prostin VR",6,NSAIDs/DMARDs/Migraine,PAIN,PDA maintenance; erectile dysfunction; vasodilation
Misoprostol,מיסופרוסטול,False,PGE1 Analogs,A02BB01,Slides,Cytotec,6,NSAIDs/DMARDs/Migraine,PAIN,GI cytoprotection in NSAID users; labor induction; CI: pregnancy (abortifacient)
Lubiprostone,לוביפרוסטון,False,PGE1 Analogs,A06AX03,Slides,Amitiza,6,NSAIDs/DMARDs/Migraine,PAIN,ClC-2 chloride channel activator; chronic constipation + IBS-C
Latanoprost,לטנופרוסט,True,PGF2α Analogs,S01EE01,Slides,Xalatan,6,NSAIDs/DMARDs/Migraine,PAIN,Glaucoma; iris pigmentation; eyelash growth
Travoprost,טרבופרוסט,True,PGF2α Analogs,S01EE04,Slides,Travatan,6,NSAIDs/DMARDs/Migraine,PAIN,Glaucoma
Bimatoprost,בימטופרוסט,True,PGF2α Analogs,S01EE03,Slides,"Lumigan, Latisse",6,NSAIDs/DMARDs/Migraine,PAIN,Glaucoma; also cosmetic (eyelash growth — Latisse)
Tafluprost,טפלופרוסט,True,PGF2α Analogs,S01EE05,Slides,Zioptan,6,NSAIDs/DMARDs/Migraine,PAIN,Glaucoma; preservative-free
Epoprostenol,אפופרוסטנול,True,Prostacyclin Analogs,B01AC09,Slides,Flolan,6,NSAIDs/DMARDs/Migraine,PAIN,PAH; continuous IV infusion; short t½ (~6 min)
Iloprost,אילופרוסט,True,Prostacyclin Analogs,B01AC11,Slides,Ventavis,6,NSAIDs/DMARDs/Migraine,PAIN,PAH; inhaled
Treprostinil,טרפרוסטיניל,True,Prostacyclin Analogs,B01AC21,Slides,"Remodulin, Tyvaso",6,NSAIDs/DMARDs/Migraine,PAIN,PAH; SC/IV/inhaled/PO
Aspirin,אספירין,False,Salicylates,N02BA01 / B01AC06,Slides,"Bayer, Bufferin, Ecotrin",6,NSAIDs/DMARDs/Migraine,PAIN,IRREVERSIBLE COX-1 acetylation; low-dose antiplatelet (75-100mg); analgesic/anti-inflammatory at higher doses; Reye syndrome in children; t½ 3h (low) / 15h (high dose)
Diflunisal,דיפלוניסאל,True,Salicylates,N02BA11,Slides,Dolobid,6,NSAIDs/DMARDs/Migraine,PAIN,No antipyretic effect; less GI irritation than aspirin
Salsalate,סלסלאט,True,Salicylates,N02BA06,Slides,—,6,NSAIDs/DMARDs/Migraine,PAIN,Non-acetylated salicylate; less GI/antiplatelet effects
Indomethacin,אינדומתצין,True,Acetic Acids,M01AB01,Slides,Indocin,6,NSAIDs/DMARDs/Migraine,PAIN,"Very potent; CNS disturbances; use as last resort; also for PDA closure (neonates), gout"
Sulindac,סולינדק,True,Acetic Acids,M01AB02,Slides,Clinoril,6,NSAIDs/DMARDs/Migraine,PAIN,Prodrug; long t½
Tolmetin,טולמטין,True,Acetic Acids,M01AB04,Slides,Tolmetin Sodium,6,NSAIDs/DMARDs/Migraine,PAIN,Long t½
Etodolac,אטודולק,True,Acetic Acids,M01AB08,Slides,—,6,NSAIDs/DMARDs/Migraine,PAIN,Preferential COX-2 (COX-2 > COX-1)
Ketorolac,קטורולק,True,Acetic Acids,M01AB15,Slides,"Toradol, Acular",6,NSAIDs/DMARDs/Migraine,PAIN,Very potent; parenteral (IM/IV) + ophthalmic; short-term only (≤5 days)
Diclofenac,דיקלופנק,True,Acetic Acids,M01AB05,Slides,"Voltaren, Cataflam, Flector",6,NSAIDs/DMARDs/Migraine,PAIN,Multiple routes (PO/topical/ophthalmic); preferential COX-2
Ibuprofen,איבופרופן,True,Propionic Acids,M01AE01,Slides,"Advil, Motrin, Nurofen",6,NSAIDs/DMARDs/Migraine,PAIN,OTC; lower toxicity; widely used
Naproxen,נפרוקסן,True,Propionic Acids,M01AE02,Slides,"Aleve, Anaprox, Naprosyn",6,NSAIDs/DMARDs/Migraine,PAIN,OTC; considered safest NSAID by some experts; long t½
Fenoprofen,פנופרופן,True,Propionic Acids,M01AE04,Slides,Nalfon,6,NSAIDs/DMARDs/Migraine,PAIN,
Flurbiprofen,פלורביפרופן,True,Propionic Acids,M01AE09,Slides,Ansaid,6,NSAIDs/DMARDs/Migraine,PAIN,Also ophthalmic
Ketoprofen,קטופרופן,True,Propionic Acids,M01AE03,Slides,—,6,NSAIDs/DMARDs/Migraine,PAIN,
Oxaprozin,אוקספרוזין,True,Propionic Acids,M01AE12,Slides,Daypro,6,NSAIDs/DMARDs/Migraine,PAIN,Long t½
Piroxicam,פירוקסיקם,True,Oxicams,M01AC01,Slides,Feldene,6,NSAIDs/DMARDs/Migraine,PAIN,Long t½; once daily
Meloxicam,מלוקסיקם,True,Oxicams,M01AC06,Slides,Mobic,6,NSAIDs/DMARDs/Migraine,PAIN,Preferential COX-2; long t½
Mefenamic acid,חומצה מפנמית,True,Fenamates,M01AG01,Slides,Ponstel,6,NSAIDs/DMARDs/Migraine,PAIN,Dysmenorrhea; less GI irritation
Meclofenamic acid,חומצה מקלופנמית,True,Fenamates,M01AG04,Slides,—,6,NSAIDs/DMARDs/Migraine,PAIN,
Celecoxib,צלקוקסיב,True,COX-2 Selective,M01AH01,Slides,Celebrex,6,NSAIDs/DMARDs/Migraine,PAIN,Only remaining coxib on market (rofecoxib/Vioxx withdrawn 2004); ↑CV risk; less GI; no antiplatelet
Acetaminophen,אצטמינופן (אקמולי),True,Acetaminophen,N02BE01,Slides,"Tylenol, Acamoli, Ofirmev (IV)",6,NSAIDs/DMARDs/Migraine,PAIN,Central COX only; safe in children + pregnancy; NO anti-inflammatory; hepatotoxic at overdose → N-acetylcysteine
Zileuton,זילאוטון,False,5-LOX Inhibitors,R03DX02,Slides,Zyflo,6,NSAIDs/DMARDs/Migraine,PAIN,"5-LOX inhibitor; asthma; QID dosing (poor compliance); hepatotoxicity; CYP450 interactions (theophylline, warfarin)"
